x1,x2,y
236.24125403344337,275.81848776463426,0
228.11505955258093,262.3734251565693,0
216.36821939527087,261.64324872160546,0
234.25195979773247,283.10287495904714,0
215.05835101406421,255.30352314252553,0
230.98303184132038,254.55724894286024,0
213.4783351615641,237.83505464249626,0
239.44476630608486,252.8256123763789,0
237.4899198556045,207.09709489269756,0
302.1174783901389,228.74908243326843,0
336.43069874060785,212.66365892951276,0
387.9656765766775,224.51795414040066,0
415.44489087183297,214.09918032184243,0
415.8839826181433,204.4625128710122,0
459.7833956684059,228.38548471448996,0
444.9456925290847,222.41873395946502,0
461.09309798228514,196.80705533321253,0
454.6842060607724,197.396374520649,0
435.99544876480593,203.05163740212714,0
453.7897438122206,206.2659087417698,0
433.6440776559326,196.70106809169036,0
454.70897599123174,195.49685958891956,0
411.73473927954916,192.47735731383162,0
400.86852982377945,186.00259258332048,0
379.8322698438847,193.42498733526315,0
378.8013840920475,192.05447208836043,0
389.1732649562964,192.69615529090171,0
363.1875712191626,197.45005508002382,0
375.45858599715854,173.83175168773647,0
351.87783861468523,166.1239019987487,0
353.6955502717384,164.0260221106651,0
348.23925480278405,166.91304284461222,0
369.1861926243808,181.1991738244154,0
346.699962332581,159.28636699675596,0
348.726615308839,183.83838834620593,0
350.9511881778071,157.16449925245462,0
347.7036591767017,169.37183750956922,0
332.9862237708368,156.6220245461629,0
298.2855690263326,173.18048612651864,0
269.4207573635098,172.40173265935616,0
258.59218653051227,169.7235920772678,0
251.7745298160034,153.87781025721026,0
232.0400431608772,154.90698776398207,0
249.68619996075284,177.11143555893213,0
246.57895301170345,184.58901803483832,0
229.35733175376384,166.28590892900382,0
226.6968811026747,168.24215525263853,0
223.8041148019663,171.03211581535302,0
221.20122827574957,171.76959448004158,0
226.66685292326625,177.25125856168324,0
237.10370662436978,144.70080663833824,0
226.48962953154873,168.70956373107927,0
226.66096230636776,163.02510798635825,0
341.18428398543296,138.33266881161074,0
343.0451618950031,138.50877960872668,0
308.1783937003754,124.82289869011333,0
317.97558434191063,142.81704662025146,0
321.05140382891386,185.8443051799321,0
341.3302527481315,185.81792792737338,0
331.407584121703,170.84720211430638,0
344.4939156334484,171.54772413092365,0
